Contig	Assembly_with_MEGAHIT/fw0 Mean	Assembly_with_MEGAHIT/fw1 Mean
k141_19473	12.116279	113.88372
k141_19475	4.9117646	48.588234
k141_10858	99.66516	54.67421
k141_17257	189.20985	2149.8875
k141_10859	40.633587	313.74426
k141_10860	5.4503818	32.396946
k141_17258	2.019337	5.7099447
k141_10861	2.3458333	28.5625
k141_10863	0.33948338	19.505535
k141_10865	17.067093	259.77316
k141_19476	841.65643	0
k141_10866	89.69388	169.96599
k141_17259	6.995355	32.41473
k141_10868	0.7185629	12
k141_17260	5627.2686	9144.756
k141_17261	0.6666667	15.25
k141_10869	0	2.5272727
k141_10870	0	24.381578
k141_17262	18.525927	21.355556
k141_17263	24.761906	65.940475
k141_10871	0	18.70533
k141_17264	0	3.4030228
k141_10872	0	3.6795454
k141_10874	8.881356	22.762712
k141_17265	62.0018	504.72073
k141_10875	138.76624	722.57574
k141_17266	22.098484	204.56818
k141_17267	0	27.972773
k141_17268	12.589744	59.48718
k141_17269	3.5706215	14.627119
k141_8729	3478.3125	3207.6194
k141_19477	10.224384	652.35645
k141_8730	0.41694915	8.684746
k141_17271	940.55945	1517.7291
k141_8731	1	0.8965517
k141_17272	88.55639	69.75188
k141_17273	0.16883117	2.4978354
k141_17274	187.1407	678.995
k141_19478	191.62718	0
k141_17275	4.230216	220.2518
k141_17276	3.1935484	33.182796
k141_19479	113.112526	1285.3099
k141_17277	11.2421875	259.3828
k141_17278	23.947826	307.23477
k141_8732	5366.395	8117.0313
k141_19480	399.7221	844.93164
k141_17282	32.4011	62.983517
k141_2270	0.001977319	29.059029
k141_145	0	229.50676
k141_17284	147.10435	1052.7391
k141_2271	3452.2546	5791.268
k141_146	0	378.78394
k141_2272	1.0060241	0.5481928
k141_17285	1975.7556	538.89526
k141_147	0	2.2768729
k141_17286	1503.7563	258.69748
k141_19481	31.86883	156.08519
k141_2273	41.659508	54.54908
k141_10876	3244.2705	3266.1584
k141_149	0	2.8177083
k141_2274	43.79389	83.29008
k141_19482	55.579235	194.59016
k141_17287	76.82609	287.08212
k141_2275	26.731707	133.4244
k141_17288	57.577465	147.26761
k141_2276	4508.0825	7289.577
k141_10879	74.492874	1441.0427
k141_150	507.25253	0
k141_2279	50.555557	78.45299
k141_10882	56.24359	91.15385
k141_151	0	12.05303
k141_2280	1.4569288	16.483147
k141_17289	83.65901	1129.5604
k141_2281	67.957146	478.27142
k141_17290	0.5535714	12.928572
k141_2282	21.64	112.44
k141_17291	0	2.2252748
k141_2283	0.57575756	21.484848
k141_2284	5.962121	38.68182
k141_17292	0	2.3834586
k141_10883	73.35	1004.56964
k141_10884	16.72857	196.94286
k141_17294	32.064705	131.15294
k141_10885	18.295774	69.57746
k141_152	0.7096774	15.595308
k141_19483	537.886	687.45197
k141_153	4.5231786	100.84106
k141_8733	13.2692995	667.6862
k141_17295	71.79614	933.88153
k141_2285	0.77678573	160.27455
k141_154	32.74138	490.34482
k141_10887	0	2.8137803
k141_155	3.7169812	56.31132
k141_17296	0.80864197	22.382715
k141_2287	7.451128	74.32331
k141_17297	0	2.4033613
k141_156	2.7465754	59.136986
k141_8737	0	3.3434904
k141_2289	1.1348838	0.18604651
k141_17300	1.8720931	16.45349
k141_157	10.811594	261.33334
k141_19484	494.88794	0
k141_8740	274.58163	278.7755
k141_2290	2675.525	4695.6094
k141_158	139.68153	1160.8535
k141_19486	24.166666	70.072464
k141_8741	89.48804	161.82297
k141_19487	0	3.5605094
k141_17302	0	3.5418994
k141_161	8.327434	453.4646
k141_2291	0	2.967118
k141_17303	4.8039217	148.70589
k141_8743	50.030533	196.41985
k141_2292	0	3.4939759
k141_8744	62.541355	404.97745
k141_17304	0	6.9607844
k141_2293	20.044199	558.6575
k141_19489	0.6893004	35.088478
k141_8745	344.11865	309.38135
k141_162	146.36949	499.58475
k141_17305	32.43421	473.9342
k141_19490	7.5263157	62.94737
k141_2295	22.173914	135.28696
k141_163	3411.8955	5550.8804
k141_17306	0	28.312977
k141_8747	6.635135	3.4864864
k141_19492	53.076336	283.16794
k141_164	2.7860696	7.243781
k141_8748	56.29358	177.6789
k141_19493	12	137.88
k141_165	0.28723404	18.18617
k141_8749	2353.7678	3998.4822
k141_17308	0	101.29388
k141_8750	4.729858	7.7393365
k141_19495	1326.2585	120.44218
k141_8751	24.777779	209.12962
k141_2296	177.69417	2788.9514
k141_17310	1056.1288	128.57576
k141_19496	42.5137	510.85617
k141_8752	85.05442	91.08843
k141_19498	0	3.7777777
k141_19499	50.36905	222.11905
k141_8755	0	2.9454024
k141_2297	0.23066299	4.7900553
k141_17316	47.22652	404.4475
k141_15146	0	84.70542
k141_17317	0.48067632	3.7753623
k141_8757	6.841924	150.80412
k141_15148	904.3871	192.23924
k141_2299	0	3.3835616
k141_15149	150.70512	69.39744
k141_17318	79.59322	606.7585
k141_8758	4.004608	141.58525
k141_15150	0	53.39766
k141_2300	24.951965	306.32315
k141_17319	0.34666666	14.74
k141_8759	25.072464	177
k141_17320	0	0
k141_8760	1.2865169	0.061797753
k141_2303	47.55725	52.603054
k141_8761	94.13534	155.95488
k141_15151	105.54217	614.22546
k141_19501	0.2373259	24.913092
k141_15152	0	3.1532848
k141_19503	46.150627	322.82846
k141_19504	6.9216866	98.85542
k141_8766	68.054375	270.45627
k141_19505	93.91219	385.37073
k141_15153	0	3.6634264
k141_19506	0.9593496	21.658537
k141_15154	2109.6846	3368.1274
k141_17321	1973.9655	1471.021
k141_15155	58.168316	188.9505
k141_8767	28.808783	62.107647
k141_19507	1871.1428	248.10504
k141_17322	0.16836734	0.6377551
k141_8768	11.330358	74.61607
k141_19508	30.683332	201.73889
k141_19509	1.4745762	66.118645
k141_15157	6.35641	130.41283
k141_17325	10.9	25.777779
k141_19510	144.37897	870.67236
